Post Date,Description,Category,Reference Number,Amount
3/31/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641FALAXPFMRG,-5.48
3/31/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F9LA9PXNLJ,-6.34
3/31/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F9LAEJ638Q,-1.00
3/31/2026,AMAZON RETA* B50A33YN0   WWW.AMAZON.COWA,Variety Stores,2401134F92X8B5ZPK,-60.34
3/31/2026,AMAZON MARK* BG7333OT0   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134FA2X5N19W9,-16.45
3/30/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F8L95V6NG0,-53.84
3/30/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F8L95SRBFQ,-13.43
3/30/2026,AMAZON MARK* B58FV9U00   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134F92X5LW9KP,-14.26
3/29/2026,PHR*SAMAHealthCareServiceEL DORADO    AR,Doctors not elsewhere classified,2490641F67QQXZXRV,-100.00
3/29/2026,Netflix.com              netflix.com  CA,Cable  Satellite  and Other Pay Television and Radio Services,2490641F67QBXJVQL,-8.77
3/29/2026,WM SUPERCENTER #530      EL DORADO    AR,Drug Stores  Pharmacies,2444500F7BLRVLP3N,-7.81
3/29/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500F68R270E5Y,-29.18
3/29/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500F68R270E3L,-18.38
3/29/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F6L73PKNM3,-1.00
3/29/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F6L6ZH16WH,-38.90
3/29/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F6L6ZGXJRE,-12.02
3/29/2026,AMAZON MARK* B54MU5RB1   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134F72X6JF09E,-21.94
3/27/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F5L603T02N,-8.51
3/27/2026,AMAZON MARK* BG2HQ7YM2   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134F62X53PYNY,-20.50
3/26/2026,BROOKSHIRES 48           EL DORADO    AR,Grocery Stores  Supermarkets,2413746F501L274J8,-8.21
3/25/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F3L3S5G5TT,-74.06
3/25/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523F3L3PMMVGW,-19.31
3/25/2026,VISIBLE                  866-331-3527 CO,Calls through use of Magnetic Stripe  Reading Telephones,2403629F4LPQ5HGEG,-19.00
3/24/2026,AMAZON MKTPL*BD65K2R00   Amzn.com/billWA,Book Stores,2469216F332W3LQVE,-16.45
3/24/2026,AMAZON MKTPL*BG86P9M32   Amzn.com/billWA,Book Stores,2469216F332VFJ7T0,-10.96
3/24/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2445501F243A514E9,-47.16
3/23/2026,Interest Charge on Cash Advances,,,0.00
3/23/2026,Interest Charge on Purchases,,,0.00
3/23/2026,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105F18Q63449T,-31.11
3/22/2026,MAIN STREET PIZZA        EL DORADO    AR,Food Eating Places  Restaurants,2476501F1L1480WX6,-28.05
3/22/2026,Audible*Y354A9E53        Amzn.com/billNJ,Direct Marketing  Continuity/Subscription Merchants,2469216F0307P9SY0,-16.41
3/22/2026,AMAZON PRIME*9H7NW9H23   Amzn.com/billWA,Direct Marketing  Continuity/Subscription Merchants,2469216EZ2ZWS4GYV,-16.45
3/22/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2422638F00L8TXW1N,-31.34
3/20/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EZKZ6ND0BM,-1.75
3/19/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EXKXDNLHVM,-52.16
3/18/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EXKX0JF7VB,-4.38
3/18/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EXKX0JF7ST,-2.18
3/17/2026,PAYMENT - IN BRANCH      TEXARKANA    TX,,,1748.49
3/17/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EWKVYRG9V5,-1.75
3/17/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641EWKVYRG9VD,-5.48
3/16/2026,AMAZON MKTPL*BD1VK4ZB1   Amzn.com/billWA,Book Stores,2469216EV359ZEYDQ,-43.89
3/16/2026,AMAZON MKTPL*B51V98NP2   Amzn.com/billWA,Book Stores,2469216EV35BLH4AL,-76.81
3/16/2026,UNITED AG AND TURF MAGNOLMAGNOLIA     AR,Miscellaneous Repair Shops and Related Services,2475542ESM8HX59SF,-182.63
3/16/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500ES8R21KWDA,-2.19
3/16/2026,SONIC DRIVE IN #2440     870-234-4280 AR,Food Fast Food Restaurants,2405524ESKS6T2EPK,-7.94
3/16/2026,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,2405524ESKS6T041Z,-7.79
3/15/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ETKTA65JN7,-90.52
3/15/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ETKTA6A0J2,-8.53
3/15/2026,PY *TCW                  501-3299144  AR,Calls through use of Magnetic Stripe  Reading Telephones,2490641ER7BA614J8,-40.00
3/13/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641ERKPT01TRV,-1.75
3/13/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523EPKP4LD4AA,-40.72
3/12/2026,AMAZON MKTPL*BP1GI9FF0   Amzn.com/billWA,Book Stores,2469216EN31ALRZW9,-21.94
3/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ENKMXG7VXN,-47.90
3/12/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523ENKMXGR8W0,-12.04
3/11/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641ENKMLNJBM7,-1.75
3/11/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641ENKMLNJBMF,-4.73
3/11/2026,AMAZON MARK* BE8C18W20   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134EM2X7MWKTF,-21.94
3/11/2026,AMAZON MARK* BE06L6WG0   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134EM2X7GS0DP,-28.85
3/11/2026,AMAZON MARK* BP64A0PF1   AMAZON.COM/MAWA,Miscellaneous and Specialty Retail Stores,2401134EM2X7GRGJK,-43.89
