Post Date,Description,Category,Reference Number,Amount
3/30/2025,SQ *PJ'S COFFEE OF NEW OREl Dorado    AR,Food Fast Food Restaurants,24692162R2ZDLMPXJ,-5.94
3/30/2025,SQ *TASTY DONUTS LLC     El Dorado    AR,Miscellaneous and Specialty Retail Stores,24692162R2ZBY5539,-4.59
3/30/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445002RBLNNTPK5,-30.46
3/30/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431052R3LX38K09,-22.63
3/28/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431052N3L6Y8BFG,-1.75
3/28/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431052N3KYP6S9B,-19.31
3/24/2025,SEPHORA.COM              877-SEPHORA  CA,Cosmetic Stores,24692162J33DN0L0L,-16.82
3/23/2025,Interest Charge on Cash Advances,,,0.00
3/23/2025,Interest Charge on Purchases,,,0.00
3/23/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431052H3HS9JV4F,-1.75
3/23/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431052H3HRZVH4H,-16.03
3/21/2025,PERCY\'S CONVENIENCE STOREL DORADO    AR,Food Fast Food Restaurants,24035992FS66QYVVV,-7.90
3/20/2025,CHEVRON 0352098          EL DORADO    AR,Automated Fuel Dispenser,24692162F30MLHTYF,-19.95
3/19/2025,WENDY'S 12               EL DORADO    AR,Food Fast Food Restaurants,24445002DEJ73T93Q,-13.17
3/16/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445002BBLP0P4G6,-44.31
3/16/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431052A3ERNH4TK,-41.93
3/13/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,244450028BLN6VLDA,-14.70
3/9/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,244450023BLNJL3V4,-4.35
3/7/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105213B68ZH0V,-4.38
3/7/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105213B68ZH0K,-1.75
3/6/2025,SQ *RHEA LANA'S OF EL DOREl Dorado    AR,Mens and Womens Clothing Stores,24692162131AZ79WT,-4.66
3/6/2025,DAIRY QUEEN #44677       EL DORADO    AR,Food Fast Food Restaurants,2411641207ME1EL25,-7.34
3/6/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523207M7JK1GL,-51.81
3/6/2025,HOUSE-WYLIE COFFEE BAR & EL DORADO    AR,Food Eating Places  Restaurants,24013392000XMVLPQ,-26.10
3/5/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445001Z5SE5HEN3,-1.58
3/5/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431051Z3AAD9QDA,-1.75
3/5/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055231Z7L8J3YZW,-5.42
3/3/2025,WHATABURGER 1335         EL DORADO    AR,Food Fast Food Restaurants,24692161Y2YM7HK2E,-6.40
3/3/2025,WHATABURGER 1335         EL DORADO    AR,Food Fast Food Restaurants,24692161Y2YM7HK0X,-2.18
3/3/2025,WHATABURGER 1335         EL DORADO    AR,Food Fast Food Restaurants,24692161Y2YM7HK0D,-14.84
3/3/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445001X8R0Y3BT8,-44.31
2/28/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055231S7F5TYZ3Q,-67.81
2/28/2025,MURPHY USA 7884          SEARCY       AR,Service Stations (with or without Ancillary Services),24431051S37ZFRL6X,-3.11
2/27/2025,CIRCLE K # 09981         HENSLEY      AR,Service Stations (with or without Ancillary Services),24692161S34EG1J0Y,-2.45
2/27/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,24445001T5SDLYE37,-3.77
