Post Date,Description,Category,Reference Number,Amount
11/23/2025,Interest Charge on Cash Advances,,,0.00
11/23/2025,Interest Charge on Purchases,,,0.00
11/23/2025,THE HOME DEPOT 8537      EL DORADO    AR,Home Supply Warehouse,2469216A5314TDFNZ,-3.00
11/21/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523A4G57RKE1R,-456.85
11/21/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523A4G57RJBZ9,-41.06
11/19/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641A3G411AJHA,-1.75
11/19/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641A3G411AJGT,-1.00
11/16/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,98.52
11/16/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239ZG07QSYY9,-47.81
11/13/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419XFXWKERGW,-1.75
11/13/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239WFX498FQV,-38.93
11/11/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239SFV7DL7KA,-0.17
11/11/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239SFV7DFFVB,-57.67
11/6/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,546.55
11/5/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419MFMNNYVF7,-3.05
11/5/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419MFMNNYVEZ,-2.18
11/4/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419LFLN3643Y,-4.38
11/4/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419LFLN3643N,-1.75
11/2/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419HFHLG17EV,-2.47
