Post Date,Description,Category,Reference Number,Amount
6/30/2025,CHEVRON 0352098          EL DORADO    AR,Automated Fuel Dispenser,24692165M364T41TK,-18.56
6/29/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137465L01BH3VTT,-8.46
6/29/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137465K01KDQLQ2,-5.49
6/27/2025,4TE*SOUTH ARKANSAS REGION870-863-2000 AR,Hospitals,24445005H5SDBXWNP,-19.13
6/27/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431055H4VHF9MJF,-30.66
6/26/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431055G4V3BQA8H,-1.75
6/26/2025,DR MARK RISINGER         EL DORADO    AR,Dentists  Orthodontists,24460085G0VYSBJ8H,-100.46
6/25/2025,HUDSONST2020             LAS VEGAS    NV,News Dealers and Newsstands,24431065F6RS55D2Q,-4.49
6/24/2025,WENDY'S # 5604           ST GEORGE    UT,Food Fast Food Restaurants,24445005EEJ83VRM7,-8.08
6/24/2025,WENDY'S # 5604           ST GEORGE    UT,Food Fast Food Restaurants,24445005EEJ83VRJL,-7.22
6/23/2025,Interest Charge on Cash Advances,,,0.00
6/23/2025,Interest Charge on Purchases,,,0.00
6/21/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,500.00
6/19/2025,CEDAR BAND TRAVEL PLAZA  CEDAR CITY   UT,Service Stations (with or without Ancillary Services),2494166594PZ8RKH6,-3.49
6/19/2025,WENDY'S # 5604           ST GEORGE    UT,Food Fast Food Restaurants,244450059EJ7MX7JR,-7.22
6/19/2025,WENDY'S # 5604           ST GEORGE    UT,Food Fast Food Restaurants,244450059EJ7MX7G4,-8.93
6/15/2025,GLOSS* ZOE FRYE HAIR     185-57702098 NV,Health and Beauty Spas,2401134552X7H3TWJ,-12.00
6/13/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105534MH6SKZT,-2.47
6/8/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24226384Y09VTGY8S,-3.08
6/5/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431054V4HXV4YTM,-4.38
6/4/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431054S4HEY9TZ3,-1.75
6/3/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431054T4H0FRXL8,-4.38
6/2/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431054R4GD56FG7,-18.09
