Post Date,Description,Category,Reference Number,Amount
10/31/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,24055249FFFNE4YR1,-2.18
10/31/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239FFFPJSWB8,-76.15
10/30/2025,USPS PO 0428080730       EL DORADO    AR,Postal Services  Government Only,24137469F01G52A8B,-37.75
10/30/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419FFFEGWTGA,-1.75
10/29/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419EFEQVQBH6,-3.00
10/28/2025,NETFLIX.COM              NETFLIX.COM  CA,Cable  Satellite  and Other Pay Television and Radio Services,24692169Q30YZQN5L,-8.77
10/28/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455019Q43A52N5F,-7.11
10/28/2025,WALMART.COM 8009256278   BENTONVILLE  AR,Discount Stores,24445009Q5SDS7BKH,-1.00
10/28/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419DFDBQX0Q4,-3.29
10/28/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419DFDBQX0BX,-1.75
10/28/2025,WALMART.COM              800-925-6278 AR,Discount Stores,24055239QFQPB1YLX,-1.07
10/26/2025,WM SUPERCENTER #530      870-862-2128 AR,Grocery Stores  Supermarkets,24445009BBLRXF0EY,-39.33
10/26/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116419AFAQ69JS9,-3.29
10/26/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,240552499F9G81K2G,-2.18
10/24/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500985SF5668M,-74.62
10/24/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500985SF56662,-3.85
10/23/2025,Interest Charge on Cash Advances,,,0.00
10/23/2025,Interest Charge on Purchases,,,0.00
10/23/2025,The Sherwin-Williams Comp800-4743794  OH,Glass  Paint and Wallpaper Stores,247933897022K0J5X,-101.39
10/23/2025,OLDNAVY.COM              800-427-7895 CA,Family Clothing Stores,24692169735V44Q5X,-27.44
10/23/2025,MADISON PAYMENTS         REXBURG      ID,Hospitals,244310698932T8LGL,-20.00
10/23/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164198F862V429,-2.37
10/23/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164198F862V42V,-4.38
10/22/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,2479338960242FDNV,-50.69
10/22/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164197F753AV2K,-2.18
10/19/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,244450094BLRRHQK0,-8.50
10/19/2025,T J MAXX #1330           EL DORADO    AR,Discount Stores,24137469401BD77VS,-35.10
10/19/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164193F333L8M8,-1.75
10/19/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,240552493F3B31914,-11.83
10/16/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,550.90
10/12/2025,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,24943018W09FLBAWE,-43.00
10/8/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445008TBLPPK41Y,-7.75
10/7/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418REP45KS8K,-3.29
10/6/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431058N6A7NHS3X,-16.55
10/5/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445008NBLRRXYJ1,-51.29
10/5/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418MEKX9X9Z8,-2.99
10/5/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431058L69A7EENV,-31.72
10/3/2025,SLIM CHICKENS 12408      EL DORADO    AR,Food Fast Food Restaurants,24765018LEJKQLK7Z,-14.81
10/3/2025,SQ *EL DORADO CREAMERY   EL DORADO    AR,Miscellaneous Food Stores  Specialty Stores  Markets  Convenience Stores  and Vending Machines,24692168K2Y5B7XVB,-8.04
10/3/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445008LBLWZDMTT,-43.88
10/3/2025,THE BLACK CAT CAFE       EL DORADO    AR,Food Eating Places  Restaurants,24269798L012BB2XX,-58.00
10/2/2025,SQ *SNACKS ABUELITA      El Dorado    AR,Food Fast Food Restaurants,24692168J2X8KW03T,-26.34
10/2/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418KEHJSWTF4,-1.75
10/2/2025,HOBBY-LOBBY #757         EL DORADO    AR,Hobby  Toy  and Game Stores,24137468J5SH4MZEP,-25.75
10/2/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,24055248JEGNYBGGV,-2.29
10/1/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445008JBLWHDQ7T,-8.37
10/1/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418JEGDJB55H,-1.75
