Post Date,Description,Category,Reference Number,Amount
9/30/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445008HBLW8ZEEY,-76.65
9/28/2025,WM SUPERCENTER #530      EL DORADO    AR,Drug Stores  Pharmacies,24445008FBLRSALHQ,-15.61
9/28/2025,TIMMINS HDWE             EL DORADO    AR,Hardware Stores,24431068E8KGEB3G0,-10.53
9/28/2025,NETFLIX, INC.            186-65797172 CACable  Satellite  and Other Pay Television and Radio Services,24204298E01Q78DNK,-8.77
9/26/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455018Q43A50SYV,-9.04
9/26/2025,T J MAXX #1330           EL DORADO    AR,Discount Stores,24137468D01FBJYX6,-14.26
9/25/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418QE9V3RJNY,-3.29
9/25/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,24055248BE90FYFSP,-7.89
9/24/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418BE8NZ86ZK,-2.18
9/23/2025,Interest Charge on Cash Advances,,,0.00
9/23/2025,Interest Charge on Purchases,,,0.00
9/23/2025,SQ *EL DORADO CREAMERY   EL DORADO    AR,Miscellaneous Food Stores  Specialty Stores  Markets  Convenience Stores  and Vending Machines,24692168A2YV9335B,-7.32
9/23/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418AE7LRJRRQ,-1.75
9/23/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),24116418AE7LRJRRL,-1.75
9/22/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431058863P7MRPD,-27.14
9/19/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164186E395BTFA,-5.24
9/18/2025,EL DORADO 7002 DSMV      EL DORADO    AR,Government Services not elsewhere classified,2473309852QRVZ8E5,-10.16
9/18/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),241164185E24KBW2J,-1.75
9/16/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,546.98
9/14/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793387Z02VRZTHA,-23.00
9/14/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793387Z02SVLTN1,-134.79
9/14/2025,THE HOME DEPOT #8537 EL DORADO  A CREDIT,,,6.55
9/14/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793387Z02AW2G2B,-33.45
9/14/2025,THE HOME DEPOT 8537      EL DORADO    AR,Home Supply Warehouse,24692168032XGMXTP,-86.70
9/14/2025,EXXON MISSLE MART 7      EL DORADO    AR,Service Stations (with or without Ancillary Services),24692167Z325DLHZ2,-4.19
9/14/2025,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,24943017Z09FLALWH,-30.63
9/12/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057Y5Z56AL94,-4.38
9/12/2025,LITTLE CAESARS 1494-0005 281-501-8507 AR,Food Fast Food Restaurants,24445007Y5SBVR71N,-17.55
9/11/2025,ENPHASE.COM              ENPHASE.COM  ID,Electronics Sales,24492167X2X63N4P4,-199.00
9/11/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057X5YM83R0K,-3.29
9/11/2025,WAL-MART #0530 EL DORADO  AR      CREDIT,,,23.01
9/11/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24226387Y0D7TDYG1,-4.62
9/11/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24226387Y0D7TDXPV,-23.01
9/10/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057W5Y5BTZPX,-3.28
9/10/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057W5Y5BTZPM,-1.75
9/7/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,174.98
9/7/2025,ARBYS ECOM 5548          870-862-9900 AR,Food Fast Food Restaurants,24055247TDM9XLSF0,-6.90
9/5/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057P5VS0XLRQ,-3.29
9/5/2025,BROOKSHIRES 48           EL DORADO    AR,Grocery Stores  Supermarkets,24137467R01FYJR8S,-9.05
9/4/2025,HOBBY-LOBBY #757         EL DORADO    AR,Hobby  Toy  and Game Stores,24137467N5SGLNQ91,-15.78
9/3/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057M5SSPHZSX,-4.26
