Post Date,Description,Category,Reference Number,Amount
8/31/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793387J02QTZ5X7,-7.43
8/29/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057G5RH3ZL2N,-1.85
8/28/2025,NETFLIX.COM              NETFLIX.COM  CA,Cable  Satellite  and Other Pay Television and Radio Services,24692167F2Y027N8G,-8.77
8/28/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057F5R14S205,-3.29
8/28/2025,HOBBY-LOBBY #757         EL DORADO    AR,Hobby  Toy  and Game Stores,24137467F5SG078S3,-25.23
8/27/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455017E43A6NXP9,-4.62
8/27/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431057E5PGX1ZY5,-1.75
8/24/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793387A02QX82BB,-15.90
8/24/2025,WAL-MART #0530           EL DORADO    AR,,,28.45
8/24/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24226387Q0QFW5KZN,-35.55
8/23/2025,Interest Charge on Cash Advances,,,0.00
8/23/2025,Interest Charge on Purchases,,,0.00
8/22/2025,EL DORADO 7002 DSMV      EL DORADO    AR,Government Services not elsewhere classified,24733097A27HK29TV,-37.59
8/20/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105775L0J22JL,-17.09
8/19/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,244450077BLRA4XFK,-11.98
8/18/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,180.72
8/17/2025,EXXON MISSLE MART 7      EL DORADO    AR,Automated Fuel Dispenser,2469216732X7N31AG,-6.62
8/15/2025,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,24455017243A4X490,-28.45
8/14/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),2443105715HJ3LFTT,-0.82
8/12/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137467001FAV912,-4.44
8/10/2025,CEP*EL DORADO GOLF &     EL DORADO    AR,Membership Clubs (Sports  Recreation  Athletic)  Country Clubs  Private Golf Courses,24445006W8R1JWAQN,-10.30
8/10/2025,BROOKSHIRES 48           EL DORADO    AR,Grocery Stores  Supermarkets,24137466X01DN54DQ,-8.26
8/8/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431056V5EV3VZ3S,-3.29
8/7/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431056S5EBLX37L,-4.38
8/7/2025,USPS PO 0428080730       EL DORADO    AR,Postal Services  Government Only,24137466V01GAYNHG,-11.00
8/6/2025,VCN*UNIONCOCIRCUITCLERK  866-255-1857 AR,Government Services not elsewhere classified,24445006T8PZRM32G,-8.50
8/6/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,24137466S01FL51EF,-3.17
8/5/2025,CORPORATE OFFICE 1111    EL DORADO    AR,Service Stations (with or without Ancillary Services),24431056R5DDQYQBD,-3.29
8/5/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431056R5D5J7WN7,-29.57
8/4/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,24445006RBLRVL9Z3,-18.07
8/3/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,24431056N5QAS82DM,-25.67
8/1/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,294.10
8/1/2025,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,24793386L02MLQBBN,-14.86
