Post Date,Description,Category,Reference Number,Amount
7/31/2026,TST*SOLE LIFE            El Dorado    AR,Food Eating Places  Restaurants,2469216K3BSXB6Y6Y,-11.03
7/30/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641K3REVBKG4T,-2.19
7/30/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523K2RDYXTW30,-1.00
7/30/2026,AMAZON PRIME*WW43T2IC3   Amzn.com/billWA,Direct Marketing  Continuity/Subscription Merchants,2469216K1BT5KP34Q,-8.26
7/29/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523K1RQZLXQV5,-53.21
7/28/2026,AMAZON MKTPL*VA6QR8W43   Amzn.com/billWA,Book Stores,2469216K1BRJMLN1D,-15.42
7/28/2026,NETFLIX.COM              NETFLIX.COM  CA,Cable  Satellite  and Other Pay Television and Radio Services,2469216K0BPRTHGLF,-9.91
7/28/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641K1RQKPYHL1,-3.23
7/27/2026,WALMART.COM WALMART.COM  AR       CREDIT,,,4.28
7/26/2026,SLIM CHICKENS 12408      EL DORADO    AR,Food Fast Food Restaurants,2476501JZRA9GJ7LK,-15.79
7/26/2026,AMAZON MKTPL*AI44575H3   Amzn.com/billWA,Book Stores,2469216JYBMXVJVNY,-27.54
7/26/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JYR9M634BH,-68.24
7/26/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500JX5SJS6JFP,-0.74
7/26/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JYR9QZ7D48,-1.44
7/26/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523JXR8G9PAVN,-39.26
7/26/2026,VISIBLE                  866-331-3527 CO,Calls through use of Magnetic Stripe  Reading Telephones,2403629JXLV146GDS,-19.00
7/24/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2422638JX0TJSNX5M,-17.36
7/24/2026,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746JX01JLQTSH,-17.64
7/24/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JXR8837S3N,-4.40
7/23/2026,Interest Charge on Cash Advances,,,0.00
7/23/2026,Interest Charge on Purchases,,,0.00
7/23/2026,AMAZON MKTPL*R990976S3   Amzn.com/billWA,Book Stores,2469216JVBWNB2LNG,-22.81
7/23/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JWR731LW1A,-1.75
7/22/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641JVR5Z6DAE3,-1.75
