Post Date,Description,Category,Reference Number,Amount
12/31/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,2444500BDBLRHTE5S,-26.54
12/31/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523BQHDN0X4SY,-7.92
12/29/2025,GRAVITY FACTORY          REXBURG      ID,Recreation Services not elsewhere classified,2426979BAEJFZLP9V,-28.62
12/29/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523BAHBWFS6L5,-41.69
12/28/2025,COSTCO WHSE#1379         IDAHO FALLS  ID,Wholesale Clubs,2494300B9A6P4VKYB,-53.90
12/28/2025,WAL-MART #1878           REXBURG      ID,Grocery Stores  Supermarkets,2444500B9BLRR36T3,-13.98
12/28/2025,BROULIM'S #6             REXBURG      ID,Grocery Stores  Supermarkets,2442733B8MHDLB7M9,-31.79
12/28/2025,Netflix                  1 8445052993 CA,Cable  Satellite  and Other Pay Television and Radio Services,2411161B900AA12LS,-8.77
12/26/2025,REXBURG DI               REXBURG      ID,Used Merchandise Stores  Second Hand Stores,2443106B7A5ZGYLDY,-21.20
12/26/2025,EAST IDAHO AQUARIUM      IDAHO FALLS  ID,Recreation Services not elsewhere classified,2455194B70VYXE89Y,-12.48
12/25/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B6H889MBF0,-42.76
12/25/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B6H868WHXR,-9.33
12/24/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B5H735J279,-39.88
12/23/2025,Interest Charge on Cash Advances,,,0.00
12/23/2025,Interest Charge on Purchases,,,0.00
12/23/2025,WAL-MART #1878           REXBURG      ID,Grocery Stores  Supermarkets,2445501B4447YDF79,-36.30
12/23/2025,TST* TASTES ON THE FLY - DENVER       CO,Food Eating Places  Restaurants,2413746B4EJTQGLSV,-14.90
12/23/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B4H6QW5N5T,-14.50
12/23/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B4H5WYVK3D,-8.20
12/22/2025,HUDSONST2752             LITTLE ROCK  AR,News Dealers and Newsstands,2443106B4A44D4NVD,-13.64
12/22/2025,HUDSONST2751             LITTLE ROCK  AR,News Dealers and Newsstands,2443106B4A44D4L1N,-9.66
12/22/2025,MCDONALD'S F36404        FORDYCE      AR,Food Fast Food Restaurants,2442733B3LYPPZ2ZT,-2.75
12/22/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B3H4YE8RKS,-58.01
12/22/2025,MURPHY7520ATWALMART      EL DORADO    AR,Automated Fuel Dispenser,2443105B379HG55N4,-15.60
12/21/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523B2H40EKYDD,-7.32
12/21/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641B2H3PBRBMT,-2.47
12/21/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500B22XBDV1JX,-42.84
12/19/2025,IRONHEART AUTOMOTIVE     EL DORADO    AR,Automotive Service Shops,2410515B0S66FVB8B,-155.66
12/19/2025,CHICK-FIL-A #05951       EL DORADO    AR,Food Fast Food Restaurants,2442733B0LM8SP645,-12.94
12/18/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641B0H1JDQ7PG,-4.38
12/17/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641AZH0FZPGHH,-3.29
12/17/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523AYGZLFEPRN,-51.36
12/16/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,268.84
12/16/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641AYGZEVED5N,-1.75
12/14/2025,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500AV5SGJGZ13,-1.00
12/14/2025,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,2405524AWGXHKTVFG,-6.01
12/14/2025,THE HOME DEPOT 8537      EL DORADO    AR,Home Supply Warehouse,2469216AV336RG15Q,-95.42
12/14/2025,BROOKSHIRES 40           EL DORADO    AR,Grocery Stores  Supermarkets,2413746AV01K9SS7F,-66.04
12/10/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641ARGT96Q4XT,-5.48
12/7/2025,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746AL01PNZSMN,-27.43
12/7/2025,WALMART.COM              800-925-6278 AR,Discount Stores,2405523AKGLFWW29Z,-1.00
12/4/2025,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,2444500AJBLR41H24,-21.52
12/3/2025,SALONCENTRIC             EL DORADO    AR,Non-durable Goods not elsewhere classified,2432304AG5DZ2FA8N,-17.57
12/3/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641AHGJ43R7Q2,-4.38
12/3/2025,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301AG09FP1A84,-10.94
12/2/2025,NETFLIX.COM              NETFLIX.COM  CA,Cable  Satellite  and Other Pay Television and Radio Services,2469216AF30VGYYR8,-8.77
12/2/2025,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641AGGH3N8AVY,-3.28
12/1/2025,PAYMENT - IN BRANCH      TEXARKANA    TX,,,551.47
