Post Date,Description,Category,Reference Number,Amount
5/31/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523H6NQ8VRVQN,-57.10
5/31/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523H6NQ73ZRXE,-65.91
5/31/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523H6NQ65E8FZ,-16.28
5/29/2026,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,2479338H4030P8QXG,-67.98
5/29/2026,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,2479338H4027FH7HK,-61.25
5/29/2026,AMAZON PRIME*8Z8OK46E3   Amzn.com/billWA,Direct Marketing  Continuity/Subscription Merchants,2469216H4BWKLDBPP,-8.22
5/29/2026,WALMART.COM 8009256278   BENTONVILLE  AR,Discount Stores,2444500H45SGVEV9V,-1.00
5/29/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500H45SGVEV7H,-7.25
5/29/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641H5NAPJETR3,-3.29
5/28/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523H3N8X35HQA,-6.56
5/28/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523H3N8RWS82R,-49.25
5/27/2026,AMAZON MKTPL*SA7XT6AK3   Amzn.com/billWA,Book Stores,2469216H2BSFXZP17,-16.45
5/27/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500H25SGG2DLQ,-69.06
5/27/2026,WENDY'S 12               EL DORADO    AR,Food Fast Food Restaurants,2444500H2EJ6PP7YA,-19.76
5/27/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641H3N8GBY0YK,-3.28
5/27/2026,Netflix                  1 8445052993 CA,Cable  Satellite  and Other Pay Television and Radio Services,2411161H300910EV3,-9.87
5/26/2026,AMAZON MKTPL*XZ1GK96U3   Amzn.com/billWA,Book Stores,2469216H2BS919K13,-48.28
5/26/2026,AMAZON MKTPL*BW5V16WP3   Amzn.com/billWA,Book Stores,2469216H2BS8Q6VTL,-24.24
5/26/2026,AMAZON MKTPL*T84I17RT3   Amzn.com/billWA,Book Stores,2469216H2BSBA0WWB,-10.96
5/26/2026,APPLE.COM/BILL           866-712-7753 CA,Other,2469216H1BTZYBTPR,-2.99
5/26/2026,AMAZON MKTPL*5Q7X48PH3   Amzn.com/billWA,Book Stores,2469216H1BS24JX0H,-14.26
5/26/2026,AMAZON MKTPL*EO9YH8Q63   Amzn.com/billWA,Book Stores,2469216H1BS2LYKVT,-9.32
5/26/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2422638H20NYZ30AP,-39.80
5/25/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301H009G2FFQR,-22.90
5/25/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500H08R3V45QN,-2.75
5/25/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500H08R3V45A3,-63.69
5/25/2026,VISIBLE                  866-331-3527 CO,Calls through use of Magnetic Stripe  Reading Telephones,2403629H1LT15NLJE,-19.00
5/24/2026,SHERWIN-WILLIAMS707335   EL DORADO    AR,Glass  Paint and Wallpaper Stores,2479338GZ02KXVX33,-64.14
5/24/2026,AMAZON MKTPL*TN50E99D3   Amzn.com/billWA,Book Stores,2469216H0BRTSGWBE,-7.67
5/24/2026,AMAZON MKTPL*DW75E1PS3   Amzn.com/billWA,Book Stores,2469216H0BRR0VBR6,-83.40
5/24/2026,AMAZON MKTPL*UD5VB53V3   Amzn.com/billWA,Book Stores,2469216GYBPN2Q1SS,-37.51
5/24/2026,WM SUPERCENTER #530      870-862-2128 AR,Grocery Stores  Supermarkets,2444500GZBLRAVBMM,-23.16
5/24/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GY2XAWELA5,-1.00
5/24/2026,SHELL OIL 12786350004    EL DORADO    AR,Service Stations (with or without Ancillary Services),2431605GYN3BGGAK3,-9.02
5/24/2026,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,2405524GZN4KVR61W,-4.37
5/24/2026,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,2405524GZN4KVR61A,-2.18
5/24/2026,AMAZON RETA* YI6BX8A03   WWW.AMAZON.COWA,Variety Stores,2401134H02X5RWM8E,-39.50
5/24/2026,AMAZON RETA* 4F4K24N83   WWW.AMAZON.COWA,Variety Stores,2401134GY2X7KY19N,-4.48
5/23/2026,MINIMUM INTEREST CHARGE,Other,,-0.04
5/22/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GYN37DPGZ4,-4.22
5/22/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GXN2BHSQDH,-15.46
5/22/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GXN2BGBEEB,-40.03
5/22/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GX5SGMHQWK,-5.93
5/21/2026,Audible*MU5XJ4TS3        Amzn.com/billNJ,Direct Marketing  Continuity/Subscription Merchants,2469216GXBN0N62DP,-16.41
5/20/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GV8R2QA305,-78.95
5/19/2026,FOREIGN TRANSACTION FEE - MERCHANDISE,Variety Stores,,-0.96
5/19/2026,Subway COO18533          El Dorado    AR,Food Fast Food Restaurants,2479338GS038WJSHD,-7.68
5/19/2026,SP TASIA LABEL           LONDON       GB,Variety Stores,7420847GV2X4F66KV,-96.00
5/19/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GVMZX8G6E8,-4.38
5/18/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GTMY1YPA0L,-40.35
5/17/2026,BLINK                    BLINK.COM    WA,Electronics Sales,2401134GT2X4VMNF7,-164.61
5/17/2026,WM SUPERCENTER #530      870-862-2128 AR,Grocery Stores  Supermarkets,2444500GRBLR7A4VA,-24.34
5/17/2026,T J MAXX #1330           EL DORADO    AR,Discount Stores,2413746GR01MK6ELP,-20.26
5/17/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GRMWPM651R,-1.44
5/17/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GPMVS92289,-100.27
5/16/2026,PAYMENT - IN BRANCH      TEXARKANA    TX,,,1936.84
5/15/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GPMVHQ9H4Y,-5.48
5/14/2026,PY *TCW                  501-3299144  AR,Calls through use of Magnetic Stripe  Reading Telephones,2490641GM7FW4BJNT,-40.00
5/14/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GMMTHYKVA0,-3.83
5/13/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GLMRLLB54E,-6.70
5/13/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GLMRG50HF6,-61.46
5/13/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GL5SG2KLHF,-94.02
5/12/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GLMR7N87Z9,-3.28
5/10/2026,SQ *EL DORADO CREAMERY   EL DORADO    AR,Food Fast Food Restaurants,2469216GHBR9219QR,-7.68
5/10/2026,WAL-MART #0530           EL DORADO    AR,Grocery Stores  Supermarkets,2445501GG43A5660N,-44.10
5/10/2026,5230 EL DORADO           EL DORADO    AR,Discount Stores,2405523GHMM2A6AXL,-0.99
5/10/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GGML9RWX7E,-44.84
5/8/2026,WALLSTREETST2521         IRVING       TX,News Dealers and Newsstands,2443106GGQDLPH0W2,-10.61
5/8/2026,CHICK-FIL-A #05951       EL DORADO    AR,Food Fast Food Restaurants,2442733GFLM8SQ1Q1,-12.77
5/7/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GEMJ83V3VF,-2.61
5/7/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GEMJBQGBB8,-1.00
5/6/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GDMH56TLK2,-53.45
5/6/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GDMGVZHV0Z,-12.66
5/6/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GD5SFQ7YZJ,-53.99
5/5/2026,WM SUPERCENTER #530      EL DORADO    AR,Grocery Stores  Supermarkets,2444500GDBLPMTH8N,-93.35
5/5/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641GDMGKKW5ZL,-4.38
5/5/2026,WALMART.COM 8009256278   800-966-6546 AR,Discount Stores,2444500GQEJ904V8L,-3.82
5/4/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GBMEW8Q6ZZ,-1.00
5/4/2026,SONIC DRIVE IN #1948     870-863-9491 AR,Food Fast Food Restaurants,2405524GBMEPRD1BW,-2.29
5/3/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GBME7W8JPH,-54.37
5/3/2026,SQ *ARKANSAS WEATHER WATCLittle Rock  AR,Bands  Orchestras  and Miscellaneous Entertainers not elsewhere classified,2469216GABV5X9BG7,-10.86
5/3/2026,WALMART.COM              800-925-6278 AR,Discount Stores,2405523GAMDHQBR34,-36.86
5/3/2026,SQ *EL DORADO CREAMERY   EL DORADO    AR,Food Fast Food Restaurants,2469216G9BSB3494V,-8.52
5/3/2026,THE HOME DEPOT #8537     EL DORADO    AR,Home Supply Warehouse,2494301G909FP8Z15,-14.20
5/1/2026,MURPHY 1111              EL DORADO    AR,Service Stations (with or without Ancillary Services),2411641G9MQ84RMFY,-4.38
